t,yp,ypp
0.02,1.6485282028594646,36.1151513198496
0.12,1.8850629175388247,-5.224044501223792
0.27,1.6154888287251585,-1.3307985849721813
0.385,1.439968955506765,-4.803062032108111
0.64,0.5267477969251888,-6.079655636373145
0.735,0.05913312230130906,-2.7960260835244686
0.825,-0.13233172488289735,-2.019156073489473
0.93,-0.28734139824920546,-0.42934522684580667
