f,fp,fpp
0.02,0.465033763701078,5.264041448099724
0.12,1.2995577642631624,10.050727761887348
0.27,1.6664317447100505,-3.0412791271356716
0.385,1.1134765494621384,-6.057863664807995
0.64,0.20588629920965543,-1.272071405254613
0.735,0.1190789572845271,-0.638033759498018
0.825,0.07587565922070832,-0.354885800993488
0.93,0.04809537315773692,-0.1939400466413786
